Sample ID,Sample Type,Sample Name,Cultivator Batch ID,Cultivar Name,Norbaeocystin (mg/g),Baeocystin (mg/g),Psilocybin (mg/g),Psilocin (mg/g)
1,Fruit,PEM Stems,,Purple Mystic x PE6,0.007,0.0597,2.005,0.1672
2,Mycellium,APE Mycellium,,Albino Penis Envy,0.006,0.0043,0.0322,0.0244
3,Concentrate,Sticky Goo - TW,,Tidal Wave - Bottoms,0.014,0.0711,12.5301,0
4,Concentrate,Granola - TW,,Tidal Wave - Bottoms,0.007,0.0163,2.1048,0
5,Fruit,Tampensis + Blob,,Psilcybe Tampensis ,0.008,0.0285,4.3869,0.4457
6,Fruit,Yeti,,True Albino Teacher Mutant,0.009,0.0982,4.8711,0.821
7,Fruit,PEM Caps ,,Purple Mystic x PE6,0.008,0.0554,4.1014,0.3636
8,Fruit,PEM Whole Fruit,,Purple Mystic x PE6,0.004,0.0193,2.832,0.2054
9,Fruit,Abort Mix + Contam,,Mix,0.011,0.0536,3.5484,0.4328
10,Fruit,Old Infinity Powder,,PE. TW & AG,0.02,0.1172,6.076,0.4602
11,Fruit,APE,,Albino Penis Envy,0.13,0.7094,5.5058,2.0969
12,Fruit,Maylaysian ,,Maylaysian ,0.017,0.1252,4.0426,0.2255
13,Fruit,Enigma,,Tidal Wave,0.005,0.0231,5.6037,0.5783
14,Fruit,Yeti (full grind) ,,True Albino Teacher Mutant,0.004,0.0139,4.1126,0.1806
15,Fruit,Peacock ,,Peacock ,0.004,0.0285,4.0291,0.1551
16,Fruit,Infinity Fresh Powder,,PE. TW & AG,0.007,0.0377,4.9241,0.5107
17,Fruit,Tidal Wave,,Tidal Wave,0.015,0.1729,5.6831,1.0167
18,Fruit,ARC,,Albino Roller Coaster,0.005,0.0229,3.8745,0.2679
19,Fruit,Malabar,,Malabar,0.006,0.0269,3.7342,0.8554
20,Fruit,Infinity Blob,,PE. TW & AG,0.017,0.0684,8.3185,0.5402
21,Fruit,Infinity Aborts,,PE. TW & AG,0.007,0.0177,5.0444,0.1218
22,Fruit,Infinity Bottoms ,,PE. TW & AG,0.002,0.0039,1.3936,0.1569
23,Fruit,Undried Infinity (1st Flush) ,,PE. TW & AG,0.002,0.0045,0.585,0.1374
24,Fruit,Undried Infinity (2nd Flush) ,,PE. TW & AG,0.001,0.0013,0.2037,0.1118
25,Fruit,Infinity Caps,,PE. TW & AG,0.028,0.1626,6.4508,0.3768
26,Fruit,Infinity Stems,,PE. TW & AG,0.012,0.0711,7.4303,0.247
27,Concentrate,Old MeOH Extract,,PE. TW & AG,0.016,0.0786,25.2108,0.0005
28,Concentrate,Granola 2 White ,,PE. TW & AG,0,0.0214,2.8325,0.0014
29,Concentrate,Dry Goo 1,,PE. TW & AG,0.009,0.0511,9.6844,0
30,Concentrate,Wet Goo 2,,PE. TW & AG,0.015,0.1539,18.8106,0.1264
31,Concentrate,Wet Goo 3(Weak),,PE. TW & AG,0.011,0.1226,19.2684,0
32,Concentrate,Wet Goo 4(Strong),,PE. TW & AG,0.009,0.137,19.3245,0
33,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.007,0.047,3.7954,0.824
34,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.007,0.0492,3.8854,0.8232
35,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.007,0.0478,3.9745,0.8775
36,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.008,0.0415,3.1187,0.7249
37,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.007,0.034,2.6298,0.6152
38,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.008,0.0478,3.4345,0.7252
39,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.008,0.0423,3.0486,0.6555
40,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.009,0.0536,3.7246,0.7942
41,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.01,0.0566,4.1401,0.8354
42,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.007,0.0384,2.8663,0.6228
43,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.008,0.0509,3.6344,0.7441
44,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.006,0.0001,0.0557,1.8993
45,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.007,0.0011,0.0702,2.6966
46,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.006,0.0004,0.0611,2.3949
47,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.006,0,0.0651,1.9721
48,Fruit-QC,PEM Powder,,Purple Mystic x PE6,0.006,0.0006,0.0691,2.2038
49,Fruit,Jack Frost,,TAT Outcross,0.004,0.0158,0.3258,0.9538
50,Fruit,Jack Frost,,TAT Outcross,0.009,0.0481,1.1556,3.1897
51,Fruit,PEM Powder ,,Purple Mystic x PE6,0.007,0.0399,3.1019,0.6957
52,Edible,Infinite Chocolate,,PE. TW & AG,0.005,0,0.0356,0
53,Edible,Crispy Chocolate ,,Purple Mystic x PE6,0.005,0,0.1779,0
54,Edible,Infinate Chocolate,,PE. TW & AG,0.002,0,0.0222,0
55,Edible,Crispy Chocolate ,,Purple Mystic x PE6,0.002,0.0005,0.1157,0.001
56,Fruit-QC,T227-QC-Methanol Rep 1,,Trinity Powder,0.012,0.0794,9.3541,0.6139
57,Fruit-QC,T227-QC-Methanol Rep 2,,Trinity Powder,0.009,0.0684,7.9302,0.5407
58,Fruit-QC,T227-QC-Methanol Rep 3,,Trinity Powder,0.009,0.0683,8.0858,0.5381
59,Fruit-QC,T227-QC-Methanol Rep 4,,Trinity Powder,0.009,0.0641,7.623,0.5133
60,Fruit-QC,T227-QC-Methanol Rep 5,,Trinity Powder,0.01,0.0689,8.2741,0.5715
61,Fruit-QC,T227-QC-Acetone Rep 1,,Trinity Powder,0,0.0011,0.074,0.0196
62,Fruit-QC,T227-QC-Acetone Rep 2,,Trinity Powder,0,0.0005,0.0743,0.0189
63,Fruit-QC,T227-QC-Acetone Rep 3,,Trinity Powder,0,0.0017,0.076,0.0165
64,Fruit-QC,T227-QC-Acetone Rep 4,,Trinity Powder,0,0.0005,0.0806,0.0473
65,Fruit-QC,T227-QC-Acetone Rep 5,,Trinity Powder,0.005,0.0024,0.0758,0.0113
66,Fruit-QC,T227-QC-Methanol/Water Rep 1,,Trinity Powder,0.01,0.0445,4.0661,3.7828
67,Fruit-QC,T227-QC-Methanol/Water Rep 2,,Trinity Powder,0.01,0.0423,4.1214,3.173
68,Fruit-QC,T227-QC-Methanol/Water Rep 3,,Trinity Powder,0.008,0.0247,2.0488,3.6533
69,Fruit-QC,T227-QC-Methanol/Water Rep 4,,Trinity Powder,0.007,0.0145,0.9223,4.1783
70,Fruit-QC,T227-QC-Methanol/Water Rep 5,,Trinity Powder,0.008,0.0269,2.5241,3.1867
71,Edible,Chris Powder,,Trinity Powder,0.007,0.0415,10.9258,0
72,Concentrate,T227-QC-MeOH Only,,Trinity Powder,0.005,0.0771,6.2703,0.4732
73,Concentrate,T227-QC-MeOH + 0.1% Citric ,,Trinity Powder,0.004,0.0496,4.9157,0.3315
74,Concentrate,T227-QC-MeOH + 0.3% Citric  ,,Trinity Powder,0.003,0.0417,4.3444,0.2844
75,Concentrate,T227-QC-MeOH + 0.5% Citric ,,Trinity Powder,0.004,0.0511,4.7924,0.3081
76,Concentrate,T227-QC-MeOH + 0.1% Acetic ,,Trinity Powder,0.004,0.0445,4.3523,0.2859
77,Concentrate,T227-QC-MeOH + 0.2% Acetic ,,Trinity Powder,0.003,0.0403,4.0346,0.2659
78,Concentrate,T227-QC-MeOH + 0.3% Acetic ,,Trinity Powder,0.005,0.0609,5.3182,0.3582
79,Fruit-QC,T227-QC-ACN Rep 1,,Trinity Powder,0,0,0.3245,0.1055
80,Fruit-QC,T227-QC-ACN Rep 2,,Trinity Powder,0,0,0.0656,0.0275
81,Fruit-QC,T227-QC-ACN Rep 3,,Trinity Powder,0,0,0.0642,0.0124
82,Fruit-QC,T227-QC-ACN Rep 4,,Trinity Powder,0,0,0.0691,0.0324
83,Fruit-QC,T227-QC-ACN Rep 5,,Trinity Powder,0,0,0.0713,0.0209
84,Fruit-QC,T227-QC-MeOH Rep 1 ,,Trinity Powder,0.008,0.069,8.2531,0.6251
85,Fruit-QC,T227-QC-MeOH Rep 2,,Trinity Powder,0.007,0.0693,7.7691,0.6247
86,Fruit-QC,T227-QC-MeOH Rep 3,,Trinity Powder,0.007,0.0598,6.582,0.5463
87,Fruit-QC,T227-QC-MeOH Rep 4,,Trinity Powder,0.006,0.0527,6.3381,0.5276
88,Fruit-QC,T227-QC-MeOH Rep 5,,Trinity Powder,0.005,0.0454,4.9551,0.4284
89,Fruit,Jack Frost ,,,0.009,0.0702,0.9665,0.699
90,Fruit,PEM Skinny Cap & Stem ,,,0.004,0.0533,3.8102,0.5831
91,Fruit,PEM Fat Cap & Stem ,,,0.007,0.0606,2.9647,0.4328
92,Fruit,PEM Stem 1 ,,,0.004,0.0382,6.1978,0.1826
93,Fruit,PEM Stem 2,,,0.003,0.0296,4.3836,0.4729
94,Fruit,PEM Cap 1 ,,,0.008,0.0813,5.0907,0.6895
95,Fruit,PEM Cap 2 ,,,0.006,0.0723,4.9879,0.5996
96,Fruit,PE Blob ,,,0,0.009,1.3651,0.6249
97,Fruit,Spent Trinity Powder,,Trinity Powder,0.003,0.013,1.3299,0.0613
98,Fruit,Enigma,,,0.002,0.0246,6.0536,0.8305
99,Concentrate,ace crash extract,,,0.024,0.137,23.4823,0.7743
100,Concentrate,Ace Crash leftover,,,0.037,0.1554,17.8811,0
101,Fruit-QC,T227-QC-MeOH Rep 6 + Overnight,,Trinity Powder,0.005,0.0449,7.2165,0.3457
102,Fruit-QC,T227-QC-MeOH Rep 7 + Overnight,,Trinity Powder,0.006,0.0451,7.2616,0.3303
103,Fruit-QC,T227-QC-MeOH Rep 8 + Overnight,,Trinity Powder,0.005,0.0443,6.5738,0.3336
104,Fruit-QC,T227-QC-MeOH Rep 9 + Overnight,,Trinity Powder,0.005,0.046,7.0152,0.3349
105,Fruit-QC,T227-QC-MeOH Rep 10 + Overnight,,Trinity Powder,0.005,0.0436,7.0266,0.3356
106,Fruit-QC,T227-QC-MeOH Rep 11,,Trinity Powder,0.005,0.0404,6.5882,0.3305
107,Fruit-QC,T227-QC-MeOH Rep 12 ,,Trinity Powder,0.006,0.0492,7.9066,0.3814
108,Fruit-QC,T227-QC-MeOH Rep 13 ,,Trinity Powder,0.005,0.0363,5.9483,0.3079
109,Fruit-QC,T227-QC-MeOH Rep 14 ,,Trinity Powder,0.005,0.0405,6.756,0.3332
110,Fruit-QC,T227-QC-MeOH Rep 15 ,,Trinity Powder,0.006,0.0538,8.6155,0.417
111,Fruit-QC,T227-QC-MeOH Rep  16 ,,Trinity Powder,0.006,0.0515,8.2793,0.4094
112,Fruit-QC,T227-QC-MeOH Rep 17 ,,Trinity Powder,0.006,0.0492,7.8719,0.3792
113,Fruit-QC,T227-QC-MeOH Rep 18 ,,Trinity Powder,0.005,0.0403,6.9359,0.3325
114,Fruit-QC,T227-QC-MeOH Rep 19 ,,Trinity Powder,0.005,0.0449,7.165,0.3339
115,Fruit-QC,T227-QC-MeOH Rep 20 ,,Trinity Powder,0.005,0.042,6.6193,0.3215
116,Concentrate,h20 Goo #2,,Infinity Bottoms ,0,0.0029,1.131,0.0046
117,Concentrate,h20 Goo #2,,Infinity Bottoms,0.001,0.0045,1.6836,0.0082
118,Concentrate,h20 Goo #1,,Infinity Bottoms,0,0.002,0.6908,0.0008
119,Concentrate,h20 Goo #1,,Infinity Bottoms,0.001,0.0028,1.0673,0.0012
120,Concentrate,Goo V2 - Clear MeOH,,Trinity Powder,0.01,0.0722,14.4868,0.0026
121,Concentrate,Burnt Goo V2,,Trinity Powder,0,0,0.0004,0.0002
122,Edible,"Boom Bar Blank ""+5mL H2O""",,Trinity Powder,0,0.0001,0.0029,0.0002
123,Edible,"Boom Bar V2 ""+5mL H2O""",,Trinity Powder,0,0.0019,0.4746,0.0694
124,Fruit,APE-DNA Sample,,,0.052,0.5209,6.2659,1.9248
125,Fruit,Enigma-DNA Sample,,,0.001,0.0128,6.3211,0.8259
126,Fruit,Jack Frost-DNA Sample,,,0.035,0.4274,5.0721,0.4381
127,Fruit,Yeti-DNA Sample,,,0.014,0.1151,7.0632,2.3927
128,Fruit,Infinity-DNA Sample,,,0,0.0036,0.7914,0.4298
129,Fruit,Albino Infinity 9-28-21-DNA Sample,,,0.003,0.0291,3.7091,0.4263
130,Fruit,Golden Teacher ,,,0.006,0.0575,4.6443,0.1378
131,Concentrate,Goo,,,0.039,0.3564,16.6743,0.0026
132,Tablet,Tablet 1mg-Rep1,,,0.001,0.0148,1.8361,0.0001
133,Tablet,Tablet Blank,,,0,0,0,0
134,Fruit-QC,T227-QC-Rep 21,,Trinity Powder,0.011,0.0623,8.7613,0.4905
135,Fruit-QC,T227-QC-Rep 22,,Trinity Powder,0.011,0.0578,8.5328,0.4733
136,Fruit-QC,T227-QC-Rep 23,,Trinity Powder,0.01,0.056,8.4015,0.4606
137,Fruit-QC,T227-QC-Rep 24,,Trinity Powder,0.011,0.0589,8.6598,0.5049
138,Fruit-QC,T227-QC-Rep 25,,Trinity Powder,0.011,0.0634,8.8838,0.4984
139,Fruit-QC,T227-QC-Rep 26,,Trinity Powder,0.01,0.0592,8.449,0.4717
140,Fruit-QC,T227-QC-Rep 27,,Trinity Powder,0.005,0.0333,6.3084,0.3986
141,Fruit-QC,T227-QC-Rep 28,,Trinity Powder,0.006,0.0378,6.6857,0.3988
142,Fruit-QC,T227-QC-Rep 29,,Trinity Powder,0.005,0.0377,6.8291,0.4341
143,Fruit-QC,T227-QC-Rep 30,,Trinity Powder,0.006,0.0336,6.4286,0.3966
144,Fruit,Nezuko,,Nezuko,0.004,0.0227,5.2596,0.9927
145,Fruit,Kenny Fucking Long Legs,,Kenny Fucking Long Legs,0.005,0.0322,7.1257,0.6366
146,Tablet,Tablet 1mg-Rep2,,,0.002,0.0134,2.4989,0.0002
147,Tablet,Tablet 1mg-Rep3,,,0.003,0.0141,2.6643,0.0003
148,Tablet,Tablet 1mg-Rep4,,,0.003,0.0153,2.9501,0.0002
149,Tablet,Tablet 1mg-Rep5,,,0.002,0.0129,2.8118,0.0005
150,Tablet,Tablet 1mg-Rep6,,,0.002,0.0125,2.8134,0.0004
151,Fruit,Infinity Abort,,,0.005,0.0242,9.0572,0.7489
152,Fruit,APE-B-#1,,,0.011,0.0994,11.3565,2.3761
153,Fruit,APE-B-#2,,,0.012,0.1107,14.5438,3.8461
154,Fruit,APE-B-#3,,,0.025,0.2214,16.9812,1.353
155,Fruit,Ghost (10-22-21),,,0.009,0.0979,4.0786,3.298
156,Fruit,Jack Frost Large Cap,,,0.044,0.4252,6.1614,0.8237
157,Fruit,Mile High Mycology-Cordyceps Militaris,,,0,0,0,0
158,Fruit,Jack Frost Small Cap,,,0.11,0.7544,4.5937,0.9073
159,Fruit-QC,T227-QC-Rep 31,,Trinity Powder,0.018,0.1038,9.4652,0.5261
160,Fruit-QC,T227-QC-Rep 32,,Trinity Powder,0.019,0.1103,9.6216,0.5687
161,Fruit-QC,T227-QC-Rep 33,,Trinity Powder,0.018,0.1065,9.6936,0.5309
162,Fruit-QC,T227-QC-Rep 34,,Trinity Powder,0.019,0.1064,9.7851,0.5441
163,Fruit-QC,T227-QC-Rep 35,,Trinity Powder,0.019,0.108,9.6449,0.5655
164,Concentrate,Dried Extract First Pass 10-30-21-Rep 1,,,0.037,0.1594,11.4425,4.6004
165,Concentrate,Dried Extract First Pass 10-30-21-Rep 2,,,0.038,0.1594,11.5179,4.5568
166,Concentrate,Dried Extract Second Pass 10-30-21-Rep 3,,,0.049,0.215,15.3717,4.401
167,Fruit-C,Oyster Mushroom,,Oyster,0,0,0.0028,0.002
168,Concentrate,Dried Extract First Pass 10-30-21-Rep 3,,Trinity Powder,0.045,0.1341,11.4439,3.1416
169,Concentrate,Dried Extract First Pass 10-30-21-Rep 4,,Trinity Powder,0.044,0.1296,11.1535,2.5978
170,Fruit,Small Abort PE6 Caps,,PE6,0.061,0.3151,5.1008,0.8561
171,Fruit,Small Abort PE6 Stems,,PE6,0.017,0.0633,1.7316,0.3981
172,Fruit,Small Abort PE6 Caps+Stems,,PE6,0.02,0.1019,3.2418,0.8236
173,Fruit,APE-B-Buttons ,,,0.046,0.2448,6.0651,1.3423
174,Fruit,APE-B-#4 Mini DNA,,APE,0.058,0.3063,3.0798,1.5098
175,Fruit-QC,T227-QC-Rep 36,,Trinity Powder,0.019,0.0769,8.4243,0.517
176,Fruit-QC,T227-QC-Rep 37,,Trinity Powder,0.019,0.0775,8.3706,0.5116
177,Fruit-QC,T227-QC-Rep 38,,Trinity Powder,0.02,0.0792,8.7104,0.5382
178,Fruit-QC,T227-QC-Rep 39,,Trinity Powder,0.019,0.0757,8.5435,0.5207
179,Fruit-QC,T227-QC-Rep 40,,Trinity Powder,0.018,0.0719,8.0452,0.4979
180,Edible,Boom Bar Blank V2,,,0,0.0001,0.0123,0.0015
181,Edible,Boom Bar Dosed V2,,,0.001,0.0018,0.2357,0.351
182,Concentrate,Circle White Cystals,,,0.014,0.038,3.5206,1.287
183,Concentrate,Circle White Cystals Refined,,,0.104,0.3173,27.0057,7.313
184,Fruit,APE-B-#5 DNA,,APE,0.114,0.6219,3.6634,1.6072
185,Fruit-QC,T227-QC-Rep 41,,Trinity Powder,0.018,0.0987,9.0719,0.5478
186,Fruit-QC,T227-QC-Rep 42,,Trinity Powder,0.019,0.0963,9.2046,0.5438
187,Fruit-QC,T227-QC-Rep 43,,Trinity Powder,0.018,0.0941,8.843,0.5258
188,Fruit-QC,T227-QC-Rep 44,,Trinity Powder,0,0,0.0009,0.0001
189,Fruit-QC,T227-QC-Rep 45,,Trinity Powder,0.018,0.094,9.0254,0.5315
190,Concentrate,Harm Deemz Mix,,,0.043,0.449,17.3415,0.0933
191,Concentrate,Dried Extract First Pass 10-30-21-Rep 5,,,0.036,0.1449,10.7518,2.1006
192,Concentrate,Dried Crystal Leftover Goo,,,0.062,0.2931,19.4813,4.5565
193,Mycellium,Enigma 6X 5-27,,,0,0,0.0251,0.0004
194,Tablet,Doobs V1 11-17-21,,,0.002,0.0192,0.8195,0.0023
195,Concentrate,Infinity Bottoms 1st Water Extract Pull,,,0.003,0.0121,2.3498,0.0003
196,Concentrate,Infinity Bottoms 2cd Water+EtOH Extract Pull,,,0.002,0.01,2.0201,0.011
197,Fruit-C,Host Defense Mycellium Powder Lion's Mane ,,,0,0,0,0
198,Concentrate,Old PEM Water Extract,,,0.001,0.0036,0.0821,0.0036
199,Fruit,PEM Cap Gills,,PEM,0.016,0.0952,4.9064,1.2667
200,Fruit,PEM Cap Top,,PEM,0.004,0.0222,2.5171,0.971
201,Fruit,PEM Upper Stem,,PEM,0.001,0.0028,0.146,0.0941
202,Fruit,PEM Stem Base,,PEM,0,0.0009,0.1866,0.3022
203,Fruit,PEM Mid Stem,,PEM,0.001,0.0053,0.6151,0.0811
204,Fruit,PEM Cap Mix,,PEM,0.008,0.0449,2.7599,0.9386
205,Fruit,PEM Sporeulated Large Bag Mix,,PEM,0.011,0.0716,3.9452,1.5559
206,Mycellium,Yeti 8X 5-27 Knots,,TAT Isolate,0,0.0003,0.0103,0
207,Mycellium,Yeti 8X 5-27 Rope,,TAT Isolate,0,0.0006,0.0186,0
208,Mycellium,Yeti 0X 5-23 Knots,,TAT Isolate,0,0.0004,0.0061,0
209,Mycellium,Yeti 0X 5-23 Ropes,,TAT Isolate,0,0,0,0
210,Mycellium,Enigma 7X Knots,,,0,0.0039,0.5954,0.0037
211,Mycellium,Enigma 7X Ropes,,,0.001,0.0049,0.1035,0.0001
212,Mycellium,Purple Mystics-C6 3X 3-29,,,0,0,0,0
213,Concentrate,PEM Extract Cap Dominate,,PEM,0.029,0.2677,9.7237,1.0313
214,Concentrate,Jack Extract Caps+Stems,,,0.076,0.726,11.4863,1.7856
215,Concentrate,Infinity 1st Extract + Cleanup,,,0.038,0.217,12.8064,4.1858
216,Tablet,Infinity Moobs V2,,,0.006,0.0316,1.5024,0.3387
217,Fruit-QC,T227-QC-Rep 46,,Trinity Powder,0.021,0.1257,8.2378,0.7165
218,Fruit-QC,T227-QC-Rep 47,,Trinity Powder,0.021,0.1167,7.529,2.1657
219,Fruit-QC,T227-QC-Rep 48,,Trinity Powder,0.02,0.125,8.1077,0.8156
220,Fruit-QC,T227-QC-Rep 49,,Trinity Powder,0.02,0.114,7.887,1.3491
221,Fruit-QC,T227-QC-Rep 50,,Trinity Powder,0.02,0.1261,8.2935,0.7211
222,Concentrate,Infinity Extract V2,,,0.05,0.2226,11.2504,1.8512
223,Concentrate,Infinity Extract V2-Cleanup,,,0.027,0.1417,8.7504,2.4008
224,Concentrate,Infinity Extract V2-Crystals,,,0.005,0.0268,1.592,0.1868
225,Edible,Frankenstein Gummy,,,0.086,0.6036,14.8734,0.6448
226,Fruit,PEM-Wavy Cap w/Spores,,PEM,0.028,0.2122,6.6838,0.8599
227,Fruit,Great White Monsters,,Great White Monster,0.093,0.4914,4.4959,1.0522
228,Fruit,Infinity Stems,,,0.007,0.0515,3.9439,0.7276
229,Fruit,Infinity Caps,,,0.01,0.0839,4.9276,1.4531
230,Fruit,Infinity Spent Powder V3,,,0.012,0.075,4.2503,0.1636
231,Concentrate,Infinity Extract V3-Rep 1,,,0.042,0.4525,31.086,4.2145
232,Concentrate,Infinity Extract V3-Rep 2,,,0.045,0.4553,31.6537,4.1416
233,Capsule,Cube Caps,,,0.018,0.1262,6.9637,0.5729
234,Capsule,Stargazer Supplements,,,0.031,0.3609,9.8542,2.0745
N/A,Fruit-QC,T227-QC-Rep 51,,,0.044,0.1222,13.4396,0.7119
235,Fruit,J APE 1 ,,,0.15,1.3257,14.7257,2.1933
236,Fruit,J Blue Mag Rust Brain,,,0.102,0.5064,8.7658,7.0793
237,Fruit,J Psilocybe Mexicana Galandi ATL ,,,0,0.0799,2.0732,0.0131
238,Fruit,J PE Doc's ,,,0,0.1162,21.0307,1.9279
239,Fruit-QC,T227-QC-Rep 52,,Trinity Powder,0.049,0.1725,13.0597,0.7278
240,Fruit-QC,T227-QC-Rep 53,,Trinity Powder,0.043,0.1421,12.9115,0.7287
241,Fruit-QC,T227-QC-Rep 54,,Trinity Powder,0.053,0.1334,12.8768,0.7054
242,Cactus,San Pedro Ground ,,,0,0,0,0
243,Fruit-QC,T227-QC-Rep 55,,Trinity Powder,0.008,0.1897,12.8668,0.4756
244,Fruit-QC,T227-QC-Rep 56,,Trinity Powder,0.009,0.1579,13.1889,0.488
245,Fruit-QC,T227-QC-Rep 57,,Trinity Powder,0.009,0.1886,13.0228,0.4856
246,Fruit-QC,T227-QC-Rep 58,,Trinity Powder,0.008,0.185,12.545,0.4759
247,Fruit-QC,T227-QC-Rep 59,,Trinity Powder,0.009,0.1984,13.3859,0.4988
248,Fruit-QC,T227-QC-Rep 60,,Trinity Powder,0.01,0.2103,14.2879,0.5602
249,Fruit-QC,T227-QC-Rep 61,,Trinity Powder,0.009,0.1891,13.6278,0.5555
250,Fruit-QC,T227-QC-Rep 62,,Trinity Powder,0.009,0.2098,14.3022,0.5628
251,Fruit-QC,T227-QC-Rep 63,,Trinity Powder,0.011,0.2106,14.1182,0.5568
252,Fruit-QC,T227-QC-Rep 64,,Trinity Powder,0.013,0.1929,14.3569,0.565
253,Fruit,CPAP-APE-1.3-Rep1,,APE,0.17,2.4971,21.6804,0.5327
254,Fruit,CPAP-MAK-Rep1,,DC MAK,0.013,0.3364,12.8177,0.4909
255,Fruit,Enigma-X2C1S1-05APR-2022,,Enigma Cubensis ,0,0.0333,18.2957,0.7041
256,Fruit,M. Galindoi ,,Psiocybe Mexicana,0.498,2.8243,13.1453,0.305
257,Fruit,Hawaiian-X1C0S2,,Hawiian Blue Meanie ,0.013,0.3207,7.9995,0.33
258,Fruit,CPAP-APE-1.3-Rep2,,APE,0.18,2.5525,22.0457,0.5379
259,Fruit,CPAP-MAK-Rep2,,DC MAK,0.016,0.317,12.4013,0.4806
260,Fruit,CPAP-APE-1.3-Rep3,,APE,0.18,2.5374,22.3759,0.5545
261,Fruit,CPAP-MAK-Rep3,,DC MAK,0.016,0.3077,12.8328,0.5022
262,Fruit,Hawaiian-X7C0S1,,Hawiian Blue Meanie ,0.008,0.1847,9.39,0.271
263,Fruit-QC,T227-QC-Rep 65,,Trinity Powder,0,0,0,0
264,Fruit-QC,T227-QC-Rep 66,,Trinity Powder,0,0,0,0
265,Fruit-QC,T227-QC-Rep 67,,Trinity Powder,0,0,0,0
266,Fruit-QC,T227-QC-Rep 68,,Trinity Powder,0,0,0,0
267,Fruit-QC,T227-QC-Rep 69,,Trinity Powder,0,0,0,0
268,Fruit-QC,T227-QC-Rep 70,,Trinity Powder,0,0,0,0
269,Fruit-QC,T227-QC-Rep 71,,Trinity Powder,0,0,0,0
270,Fruit-QC,T227-QC-Rep 72,,Trinity Powder,0,0,0,0
271,Fruit-QC,T227-QC-Rep 73,,Trinity Powder,0,0,0,0
272,Fruit-QC,T227-QC-Rep 74,,Trinity Powder,0,0,0,0
273,Fruit-QC,T227-QC-Rep 75,,Trinity Powder,0,0,0,0
274,Fruit-QC,T227-QC-Rep 76,,Trinity Powder,0,0,0,0
275,Fruit-QC,T227-QC-Rep 77,,Trinity Powder,0,0,0,0
276,Fruit-QC,T227-QC-Rep 78,,Trinity Powder,0,0,0,0
277,Fruit-QC,T227-QC-Rep 79,,Trinity Powder,0,0,0,0
278,Fruit-QC,T227-QC-Rep 80,,Trinity Powder,0.007,0.1693,12.5607,0.5191
