Sample ID,Sample Type,Sample Name,Cultivator Batch ID,Cultivar Name,Norbaeocystin (mg/g),Baeocystin (mg/g),Psilocybin (mg/g),Psilocin (mg/g)
T-826 Rep 2,Fruit-QC,Tryp-QC-#3-21 ,,,0.03,0.2825,7.8756,0.6256
T-827Rep 2,Fruit-QC,Tryp-QC-#3-22 ,,,0.02,0.1337,3.9707,0.3407
T-823 Rep 3,Fruit,TWAxPE,6/18/2023,,0.03,0.0721,1.1788,0.8575
T-824 Rep 3,Fruit,Steel Magnolia,6/18/2023,,0.029,0.0449,6.4534,4.0256
T-828,Fruit,GT-QS-#009,,,0.02,0.3775,8.6517,0.2098
T-829,Fruit ,JAPEW-#008,,,0.046,0.9592,14.5133,1.0022
T-830,Fruit,EN-D1,8/3/2023,,0,0.0559,8.8213,0.6866
T-831,Fruit,EN-FD2,8/3/2023,,0,0.0545,13.0233,0.2393
T-832,Edible,Machine Elf Brain Bar,,,0,0,0.0143,0.8078
T-833,Fruit ,Blend 10 Homogenized,,,0.025,0.2071,6.8907,0.4017
T-834,Edible,Blend 10 Brain Bar,,,0,0,0,0
T-835,Edible,0.2g - LM - 5mg LR Brain Bite - Old,2-3 Months Old ,,0,0,0.0064,0.1083
T-836,Edible,0.2g ME - LM - 5mg LR Brain Bites ,Manufacture Date,,0,0.0013,0,0.1081
T-837,Edible,0.2g - AshwaMagBark Brain Bites ,Manufacture Date,,0.003,0.0157,0.2287,0.0369
T-838,Edible,0.2g - LM  Brain Bites,Manufacture Date,,0,0.0014,0.0023,0.1485
T-839,Fruit-QC,Tryp-QC-#3-22 ,,,0.028,0.2423,7.8007,0.574
T-830-C,Fruit,EN-D1,8/3/2023,,0,0,0,0
T-831-C,Fruit,EN-FD2,8/3/2023,,0,0,0,0
T-840,Concentrate,GM-Extract ,,,0.06,0.4621,24.194,1.265
T-841,Edible,GM-Honey,,,0.005,0.006,0.0056,0.5394
T-842,Edible,Moonbars Captan Crunch ,,,0,0,0.0338,0.4828
T-843,Fruit-QC,Tryp-QC-#3-23,,,0.054,0.3093,8.194,0.6444
T-844,Fruit-QC,Tryp-QC-#3-24,,,0.037,0.3041,8.2022,0.6126
T-845,Fruit,AZ GT,,,0.013,0.089,1.626,0.2163
T-846,Fruit,AZ PE,,,0,0.1619,3.3111,1.2057
T-847,Fruit,RK PE,,,0.011,0.121,5.8295,0.5479
T-848,Fruit,ENIGMA,,,0,0.0718,9.0053,0.8473
T-849,Concentrate,Spice Sample,9/5/2023,,0,0,0,0
T-850,Concentrate,NNDMT Vape,2,,0,0,0,0
T-851,Concentrate,Alginate Beads,2,,0,0,1.7488,1.7187
T-852,Concentrate,Brain Health Blend,,,0.021,0.1841,8.115,0.7188
T-853,Fruit-QC,Tryp-QC-#3-24,,,0,0.3021,8.3294,0.6651
T-854,Edible,2.5mg Extra Strength SME Gummies,AAEV188/AP090123,,0,0,0,0.0842
T-855,Edible,2.5mg Extra Strength SME Gummies,AAEV188/AP090123,,0,0,0,0.0962
T-856,Edible,Amanita White Chocolate (350mg/piece),9132023,,0,0,0,0
T-857,Concentrate ,Amanita Extract ,9132023,,0,0,0,0
T-858,Fruit,P.E (Spec),CH1,,0.167,0.6352,4.3829,4.0859
T-859,Fruit,Melmak,CH2,,0.184,0.7003,10.2978,2.0141
T-860,Fruit,Hillbilly,CH3 (115),,0,0.0302,1.8409,1.2214
T-861,Fruit,Hillbilly with Food,CH4,,0.048,0.15,6.0092,1.5777
T-862,Fruit,TWAPE,CH5,,0.054,0.1988,9.4535,2.2606
T-863,Fruit,Ps. Natalensis,CH6,,0.106,0.5875,8.1634,2.4162
T-864,Edible,Peach-Serrano,,,0,0.004,0.1157,0.0197
T-865,Edible,Blood-Orange ,,,0,0,0.0053,0.1886
T-866,Concentrate,Exract A-1,,,0,0,0,0.094
T-867,Concentrate,Extract B-1,,,0,0,0.0022,0.0163
T-868,Concentrate,Extract C-1,,,0,0.0011,0,0.0085
T-869,Fruit,Mix A-1,,,0.034,0.1284,4.2842,1.7232
T-870,Fruit ,NB-P.Free-1,,,0,0.0156,0.0379,0
T-871,Fruit ,NB-P.Free-2,,,0,0.0079,0.0276,0
T-872,Fruit ,NB-P.Free-3,,,0,0.0092,0.0203,0
T-873,Fruit ,NB-P.Free-4,,,0,0.0113,0.0215,0
T-874,Fruit-QC,Tryp-QC-#3-25,,,0.078,0.3498,8.9475,0.556
T-875,Edible,Gucci Gooz,,,0,0,0.0219,0.0643
T-876,Edible,Synergy Chocolate,,,0.003,0.0035,0.1395,0.1123
T-877,Fruit,Jack Frost (Old),,,0.054,0.4807,4.7,1.1739
T-878,Fruit,Unknown Mushroom,,,0.312,1.3638,6.9778,0.2798
T-879,Fruit,Blend 1 Chill,,,0,0.0365,1.2016,0.0959
T-880,Fruit,Blend 2 Daytime,,,0,0.0366,1.8067,0.0824
T-881,Fruit-QC,Tryp-QC-#3-26,,,0.081,0.3935,9.8084,0.5653
T-882,Fruit-QC,Emerald Tryptamine Test in Porcini,,,0.031,0.0838,0.0524,0.0234
T-882,Fruit-QC,Emerald Tryptamine Test in Porcini-2,,,0.034,0.0891,0.0543,0.0238
T-851-R2,Concentrate,Alginate Beads,2,,0.025,0.0479,1.8141,1.4932
T-851-R3,Concentrate,Alginate Beads,2,,0.026,0.0902,1.8327,1.3581
T-883,Fruit,Azul Ape,2.12,,0.062,0.3165,8.6437,0.7653
T-884,Fruit,Mac Galactic,H:10/2. D:131-18hrs,,0.031,0.1406,8.675,2.0816
T-885,Fruit,Casper Pumpkin,H:10/2. D:131-18hrs,,0.051,0.3354,8.947,2.174
T-886,Fruit,Toque F8 (Enigma),H:10/2. D:131-18hrs,,0.05,0.2877,16.9788,0.3282
T-887,Fruit,Albino Chodewave,H:10/2. D:131-18hrs,,0.066,0.5237,12.1255,1.9749
T-888,Fruit,Toque F8 (Nerd),H:10/2. D:131-18hrs,,0.023,0.0418,25.4691,0.6045
T-889,Mycellium,Natalensis SS 9/18,,,0,0,0.005,0.0055
T-890,Mycellium,Halo Gates 9/17,,,0,0,0,0
T-891,Liquid Culture,Yeti,,,0,0,0.0134,0
T-892,Liquid Culture,Mazatapec,,,0,0,0.0093,0
T-893,Liquid Culture,ODPE,,,0,0,0.0024,0
T-894,Liquid Culture,Cascadian Teacher,,,0.145,0,0,0
T-895,Liquid Culture,Hillbilly,,,0,0,0.001,0
T-896,Liquid Culture,Moby Dick,,,0,0.0011,0.0067,0.0008
T-897,Liquid Culture,AJMF,,,0,0,0.0065,0
T-898,Liquid Culture,Tidal Wave/ APE,,,0,0,0.0153,0
T-899,Liquid Culture,APER,,,0.001,0.0013,0.0025,0
T-900,Liquid Culture,Z Strain,,,0,0,0,0
T-901,Liquid Culture,Thrasher,,,0,0,0,0
T-902,Liquid Culture,Lucid Gates,,,0.001,0,0.001,0
T-903,Liquid Culture,Nutcracker,,,0,0,0,0
T-904,Liquid Culture,Whitebilly,,,0,0,0.006,0
T-905,Liquid Culture,Melmac,,,0,0.0011,0.0018,0
T-906,Liquid Culture,Avery's Albinos (Massive),,,0,0,0,0
T-907,Liquid Culture,Enigma,,,0.001,0,0.0013,0
T-908,Liquid Culture,Mac Galactic,,,0,0,0.0299,0
T-909,Fruit-QC,Tryp-QC-#3-26,,,0.087,0.2996,8.5287,0.5496
T-910,Fruit`,Melmak,,,0.064,0.2744,12.0478,0.1731
T-911,Edible (Drink),Light Acai Mushroom Shot (without AME),FD#30199 - 9-14-23,,0,0,0,0
A-086,Capsule,Red Cap Capsules,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-912,Fruit,Mak Squat,,,0.079,0.3834,10.5801,0.184
T-913,Fruit,Silly Makilla,,,0.047,0.1872,8.0458,0.2513
T-914,Fruit,PE,,,0.05,0.1946,13.9424,1.1548
T-915,Fruit,APE,,,0.057,0.27,8.3415,0.284
T-916,Fruit-QC,Tryp-QC-#3-27,,,0.077,0.287,8.1095,0.5222
T-917,Fruit-QC,Tryp-QC-#3-28,,,0.077,0.3253,8.2114,0.5378
T-918,Fruit-QC,Tryp-QC-#3-29,,,0.069,0.3226,8.3394,0.5471
T-919,Capsule,Red Cap-Capsule #1,,,0,0,0,0
T-920,Isolate,Muscimol Isolate,AAEW836,,0,0,0,0
T-921,Fruit,Psilocybe Zapatecorum - 1 ,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-922,Fruit,Psilocybe Zapatecorum - 2,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-923,Fruit,Psilocybe Zapatecorum - 3,,,0.182,0.7417,7.91,0.1943
T-924,Fruit,Psilocybe Zapatecorum - 4,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-925,Fruit,Psilocybe Zapatecorum - 5,,,0.025,0.0574,3.8409,0.1063
T-926,Fruit,Psilocybe Zapatecorum - 6,,,0.025,0.09,1.0009,0.2976
T-927,Fruit,Psilocybe Zapatecorum - 7,,,0.143,0.5484,13.1174,0.5934
T-928,Fruit,Psilocybe Zapatecorum - 8,,,0.023,0.0653,0.6594,0.1842
T-929,Fruit,Psilocybe Zapatecorum - 9,,,0.032,0.0479,4.2285,0.0471
T-930,Fruit,Psilocybe Zapatecorum - 10,,,0.022,0.0391,0.202,0.0945
T-931,Fruit,Psilocybe Zapatecorum - 11,,,0.184,0.6622,8.0024,0.6245
T-932,Fruit,Psilocybe Zapatecorum - 12,,,0.032,0.0878,1.1096,0.3558
T-933,Fruit,Psilocybe Zapatecorum - 13,,,0,0,0.0473,0.0286
T-934,Fruit,Psilocybe Zapatecorum - 14,,,0.029,0.0874,0.9117,0.1761
T-935,Fruit,Psilocybe Zapatecorum - 15,,,0,0.053,0.6434,0.2167
T-936,Fruit,Psilocybe Zapatecorum - 16,,,0.057,0.2315,2.8881,0.1516
T-937,Fruit,Psilocybe Zapatecorum - 17,,,0.041,0.1229,2.3025,5.0418
T-938,Fruit,Psilocybe Zapatecorum - 18,,,0,0.0345,1.0673,2.0575
T-939,Fruit,Psilocybe Zapatecorum,,,0,0,0,0
T-940,Fruit,Psilocybe Caerulipes,,,0,0,0,0.0151
T-941,Fruit,Psilocybe Neojalapenoenisis,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-942,Fruit,Psilocybe Zapatecorum,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-943,Fruit,Psilocybe Caerulensens,,,0.05,0,0.008,0
T-944,Fruit,Psilocybe Cubensis,,,0,0,0,0
T-945,Fruit,Psilocybe Neojalapenoenisis,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-946,Fruit,Psilocybe Neojalapenoenisis,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-947,Fruit,Psilocybe Heimii,,,0,0,0.0025,0.2257
T-948,Fruit,Psilocybe Banderillensis,,,0,0.0254,0.2475,0.4988
T-949,Fruit,Panaeolus Cyanescens,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-950,Fruit,Psilocybe Zapatecorum,,,0,0,0.029,0.0188
T-951,Fruit,Psilocybe Neojalapenoenisis,,,0,0,0,0
T-952,Fruit,PE Small Fruits Homogenized Powder,,,0.031,0.1464,5.755,1.3631
T-953,Isolate,5-MeO-DMT,,,0,0,0,135.2464
T-954,Fruit,T-921-Zap-Cap,,,0.103,0.4613,3.1651,0.1755
T-955,Fruit,T-921-Zap-Gill,,,0.085,0.3418,2.1221,0.0912
T-956,Fruit,T-921-Zap-Top Stem,,,0.071,0.2763,1.9987,0.0743
T-957,Fruit,T-921-Zap-Bottom Stem,,,0,0,0.1562,0.0131
T-958,Fruit,T-922-Zap-Cap,,,0.483,1.4686,15.4106,0.0753
T-959,Fruit,T-922-Zap-Stem,,,0.019,0.0304,1.3789,0.049
T-960,Fruit,T-924-Zap-Cap,,,0.347,1.2846,12.7521,0.1558
T-961,Fruit,T-924-Zap-Stem,,,0.021,0.0363,1.0959,0.0418
T-962,Fruit,DC-Mak-Wonderbags,,,0.08,0.3427,5.5391,0.1907
T-963,Leaf,Acacia Simplex Leaf,,,0,0,0,0
T-964,Fruit-QC,Tryp-QC-#3-30,,,0.071,0.3035,7.9341,0.3304
T-965,Fruit-QC,Tryp-QC-#3-31,,,0,0,0,0
T-966,Fruit-QC,Tryp-QC-#3-32,,,0,0,0,0
T-967,Fruit-QC,Tryp-QC-#2-29,,,0,0,0,0
T-968,Fruit-QC,Tryp-QC-#2-29,,,0,0,0,0
T-969-1,Edible,SME Gummies Extra Strength 2.5 (AP110723),AAFA401,,0,0,0.0047,0.0422
T-969-2,Edible,SME Gummies Extra Strength 2.5 (AP110723),AAFA401,,0,0,0.0061,0.0343
T-971,Fruit,Ps. Aztecorum,Gilpin county. CO -  September 23,,0,0.0138,0.9533,0.0042
T-972,Fruit,Ps. Oviodeocystidiata,OH + PA - May 2023,,0.062,0.3491,5.0699,1.4533
T-973,Fruit-QC,Tryp-QC-#3-33,,,0.073,0.3399,8.8569,0.4866
T-974,Fruit ,Cascadian Teacher Large,FC-Bag-11/15/23,,0.046,0.2323,4.6945,0.0956
T-975,Fruit ,Cascadian Teacher Small,FC-Bag-11/15/23,,0.047,0.2984,6.8863,0.0918
T-976,Fruit ,Mak Gorilla ,Pacific Substrates,,0,0.1109,4.3691,0.289
T-977,Fruit ,Mak Gorilla,Monster Mushrooms,,0.039,0.2749,19.1999,0.2787
T-978,Fruit ,Toque F8 Mut - Bruised Fingers,,,0.022,0.1561,16.9125,2.2417
T-979,Fruit ,Toque F8 Mut - No Fingers,,,0.03,0.1771,14.6869,0.1572
T-980,Edible,Higher Bar - White Chocolate - Strawberries & Cream - 1,,,0,0,0.0149,0.2734
T-981,Edible,Higher Bar - White Chocolate - Strawberries & Cream - 2,,,0,0,0.0067,0.1853
T-982,Edible,Higher Bar - White Chocolate - Strawberries & Cream - 3,,,0,0,0.04,0.2633
T-983,Edible,Higher Bar - White Chocolate - Strawberries & Cream - 4,,,0,0,0.0024,0.1962
T-984,Edible,Higher Bar - White Chocolate - Strawberries & Cream - 5,,,0,0,0.0301,0.1801
T-985,Edible,Higher Bar - White Chocolate - Strawberries & Cream - 6,,,0,0,0.0365,0.2653
T-986,Edible,Higher Bar - White Chocolate - Pretzels - 1,,,0,0,0.0133,0.2321
T-987,Fruit-QC,Tryp-QC-#3-34,,,0.07,0.3664,8.6314,0.4509
T-988,Fruit,Albino Bluey Vuitton ,,,0.035,0.2482,13.4759,0.1567
T-989,Edible,Shift Chocolate - PE ,,,0,0.0029,0.1372,0.2702
T-990,Fruit,Yeti-BAS,#012,,0.037,0.2351,12.9749,0.1997
T-991,Fruit ,BM-QS,#010,,0.062,0.2229,8.5882,0.2458
T-992,Fruit,APE-QS,#011,,0.194,1.1457,23.682,0.3904
T-993,Fruit ,Happy Pills,,,0.036,0.1313,5.6964,2.5111
T-994,Fruit-QC,Tryp-QC-#2-30,,,0.083,0.328,5.0075,0.6152
T-995,Edible,Happy Bar,Batch #1,,0,0,0.1668,0.1889
T-996,Fruit-QC,Tryp-QC-#2-31,,,0,0.4194,4.8896,0.6208
T-997,Fruit,Jack Frost,,Jack Frost,0.0661,0.3672,8.8028,0.9304
T-998,Edible,Moon Gummies,,,0,0,0,0.3557
T-999,Edible,Mr. Roboto,,,0,0.0353,0,0.4005
T-1000,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-1001,Fruit,Nick 1,,,0.0384,0.164,9.8425,0.2588
T-1002,Fruit,Rick 1,,,0.0589,0.3127,12.1921,0.3988
T-1003,Fruit,Rick 2,,,0.0527,0.2323,8.3149,0.1314
T-1004,Fruit,Rick 3,,,0.039,0.2333,10.6413,0.486
T-1005,Fruit,Rick 4,,,0.035,0.1111,7.6064,0.1746
T-1006,Fruit,Rick 5,,,0.0505,0.2149,11.3758,0.9751
T-1007,Fruit,Tryp-QC-#2-32,,,0.0481,0.3376,4.5204,0.5793
T-1008,Edible,Leaperz Bar,,,0,0,0,0.1907
T-1009,Edible,Mycrochips bar,,,0,0,0,0.4788
T-1010,Edible,Amazonian bar,,,0,0,0.0007,0.2423
T-1011,Edible,Golden door bar,,,0,0,0.0045,0.3536
T-1012,Edible,Entheo bar,,,0,0,0.0033,0.3233
T-1013,Fruit-QC,Tryp-QC-#3-33,,,0.0875,0.5108,9.4725,0.5063
T-1014,Edible,Ethereal - Belgium White Chocolate,,,0,0,0.0105,0.2715
T-1015,Edible,MK Chocolate Bar (APES) ,,,0,0,0,0.052
T-1016,Edible,Odyssey Chocolate Bar,,,0,0,0.0069,0.7832
T-1017,Edible,Willy Wonka Bar,,,0,0.0041,0.0575,0.4745
T-1018,Edible,Polkadot Belgian Chocolate - Cinnamon Toast Crunch ,,,0,0,0.0083,0.1146
T-1019,Edible,Lucid Journeys Bar,,,0,0,0,0.0569
T-1020,Edible,Golden Buddha - White Chocolate Blueberry ,,,0,0.0027,0.0302,0.2764
T-1021,Edible,MycoBar,,,0,0,0,0.4891
T-1022,Fruit-QC,Tryp-QC-#3-34,,,0.0691,0.2662,8.3671,0.4493
T-1023,Mycellium ,Aguadilla Blob T2 9/11 - 1,,,0.0512,0,0.3683,0.0896
T-1024,Mycellium ,Aguadilla Blob T2 9/11 - 2,,,0,0,0.2902,0.0435
T-1025,Liquid Culture ,Enigma Blob - LC Fruit,,,0.0141,0.0079,3.0431,0.0371
T-1026,Edible,Polkadot - Pennycup ,,,0,0,0,0.0256
T-1027,Edible,Polkadot - Maui Coconut Twist,,,0,0,0,0.0328
T-1028,Edible,Polkadot - Forbidden Fruit Loop,,,0,0,0,0.0715
T-1029,Edible,One-Up Multi-verse - Blueberry Blast,,,0,0,0,0.294
T-1030,Edible,Magic Journey Bar,,,0,0,0,0.2749
T-1031,Edible,Happy Bar,,,0,0,0.0016,0.1178
T-1032,Edible,PolkaDot Twix Mushroom Belgian Chocolate,,,0,0,0,0.2512
T-1033,Fruit,Hillbilly primo,,,0.0304,0.1319,2.5918,1.2834
T-1034,Fruit,DC Melmac primo,,,0.0242,0.168,3.9303,3.9352
T-1035,Fruit,Squat Melmac primo,,,0.026,0.2006,3.4718,0.7127
T-1036,Fruit,PE primo,,,0.0222,0.2386,3.4036,1.9176
T-1037,Fruit,Red & White 750s-(10001),10001,,0.0423,0.187,7.2529,0.8548
T-1038,Fruit,Yeti Chodewave-(10002),10002,,0.0643,0.4169,16.224,0.9792
T-1039,Fruit,Roatan-(10003),10003,,0.0697,0.2286,9.0236,0.2808
T-1040,Fruit,Nutcracker-(10004),10004,,0.0412,0.2889,11.9635,0.397
T-1041,Fruit,ODPE-(10005),10005,,0,0.1222,5.8205,1.133
T-1042,Fruit,Cascadian Teachers-(10007),10007,,0.0272,0.1176,4.6056,0.1201
T-1043,Fruit,Hillbilly-(10008),10008,,0.0306,0.1738,5.4188,0.3484
T-1044,Fruit,Melmac-(10009),10009,,0.0346,0.2196,11.426,0.2337
T-1045,Fruit,Enigma-(100010),10010,,0,0.0481,5.0498,1.6254
T-1046,Fruit,Mazar-(100011),10011,,0.1374,0.1217,6.7574,0.0767
T-1047,Fruit,Z Strain-(100012),10012,,0.0428,0.1314,5.0202,0.1281
T-1048,Fruit,Red Caps-(100013),10013,,0.0393,0.1172,8.1465,0.6842
T-1049,Fruit QC,Tryp-QC-#3-35,,,0.064,0.476,8.6366,0.3969
T-1031-2,Edible,Happy Bar,,,0,0.0023,0.0032,0.2265
T-1029-2,Edible,One-Up Multiverse - Blueberry Blast,,,0,0,0.1257,0.2692
T-1030-2,Edible,Magic Journey Bar,,,0,0,0.0604,0.3042
T-1031-3,Edible,Happy Bar,,,0,0,0.1662,0.2157
T-1032-2,Edible,PolkaDot Twix Mushroom Belgian Chocolate,,,0,0,0,0.0319
T-1050,Edible,PolkaDot Mushroom Belgian Chocolate Strawberry Shortcake,,,0,0,0.0037,0.0812
T-1051,Edible,Tree House-Churro Milk,,,0,0,0,0.0154
T-1052,Edible,Tree House-Sour Tropical,,,0,0,0,0.0243
T-1053,Edible,Boom Bars,,,0,0.0177,0.071,0.3474
T-1054,Fruit,Infinity,,,0.0275,0.0945,7.0743,0.1199
T-1055,Fruit,Abedo,,,0.047,0.0687,5.7492,1.5408
T-1056,Fruit,APER ,,,0.0294,0.2088,4.3379,0.2952
T-1057,Fruit,TW x APE,,,0.0457,0.1778,6.7785,0.3741
T-1058,Fruit,Mac Galactic,,,0.0196,0.102,4.7353,1.4848
T-1059,Fruit,Blend,,,0.0463,0.2612,5.5618,0.6164
T-1060,Concentrate,DMT,,,0,0,0,0
T-1061,Fruit QC,Tryp-QC-#3-36,,,0.0689,0.3382,8.3713,0.3217
T-1062,Fruit QC,Tryp-QC-#3-37,,,0.072,0.275,8.2592,0.3334
T-1063,Fruit,One Up Fruit,,,0.1502,0.6635,9.9209,0.2547
T-1064,Edible,One Up Cones - Vanilla Bean,,,0,0.003,0.0915,0.1123
T-1065,Edible,One Up Cones - Oreo Milkshake,,,0,0.0029,0.0323,0.1858
T-1066,Edible,One Up Cones - Blueberry Yogurt ,,,0,0,0.0275,0.2246
T-1067,Edible,One Up Cones - Strawberries N Cream,,,0,0.007,0.0507,0.2172
T-1068,Edible,One Up Cones - Salted Carmel ,,,0,0.0178,0.1199,0.1838
T-1069,Edible,One Up Gummies - Shroomberry,,,0.0027,0.0037,0.1658,0.0869
T-1070,Edible,One Up Gummies - Blue Schnozberry,,,0.0046,0.0174,0.244,0.031
T-1071,Edible,One Up Gummies - Magic Apple,,,0.0053,0.0261,0.2353,0.1235
T-1072,Edible,One Up Gummies -Shroom-N-Ade,,,0.0035,0.0235,0.1385,0.1592
T-1073,Edible,One Up Multiverse - Blueberry Cheesecake,,,0.004,0.022,0.1646,0.2446
T-1074,Edible,One Up Multiverse - Blueberry Blast,,,0,0,0.0529,0.364
T-1075,Edible,One Up Multiverse - Roasted Marshmellow ,,,0.0034,0.0125,0.0909,0.2974
T-1076,Edible,One Up Multiverse - Glazed Donut ,,,0.0043,0.0104,0.143,0.2887
T-1077,Edible,One Up Multiverse - Red Velvet Cake ,,,0,0,0.0137,0.3016
T-1078,Edible,One Up Micro - Boomers,,,0,0,0.0112,0.1161
T-1079,Edible,One Up Micro - Trips,,,0,0,0.0029,0.1638
T-1080,Edible,One Up Micro - Smackers,,,0,0,0.0373,0.0652
T-1081,Edible,One Up Micro  - Magic Ruth ,,,0,0,0.0127,0.0323
T-1082,Edible,One Up Micro  - Happy Day,,,0,0,0.0087,0.0906
T-1083,Edible,One Up Micro - Silly's,,,0,0.0054,0.1289,0.1218
T-1084,Fruit QC,Tryp-QC-#3-38,,,0.0821,0.3571,8.6433,0.3564
T-1085,Edible,Polkadot - Forbidden Fruit Loop,,,0,0,0,0.043
T-1086,Edible,Polkadot - Pennycup ,,,0,0,0,0.0185
T-1087,Fruit,F01 NB P.F. - F1 MS 1x2,,,0,0.0151,0.0671,0.0063
T-1088,Fruit ,Blob B NB P.F. F1 MS 1x2,,,0,0.0107,0.0129,0.0051
T-1081-2,Edible,One Up Micro-Magic Ruth,,,0,0.0036,0.0171,0.0242
T-1089,Edible,Aura Chocolate Bar Rep 1,Cookies & Cream,,0.0047,0.0083,0.3216,0.1464
T-1090,Edible,Aura Chocolate Bar Rep 2,Cookies & Cream,,0.0044,0.0051,0.2811,0.1616
T-1091,Edible,Aura Chocolate Bar Rep 3,Cookies & Cream,,0.0046,0.0057,0.3881,0.1875
T-1092,Edible,S-HF Gummies-T1,Time Point 1,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
T-1093,Bark,MH Bark,12/28/2023,,0,0,0,0
T-1094,Isolate,S-12-28-23,,,0,0,0,0
T-1095,Isolate,DMT Bab Tabs,,,0,0,0,0
T-1096,Isolate,DMT Isolate-FH,,,0,0,0,0
T-1097,Isolate,DMT Isolate-CH,,,0,0,0,0
T-1098,Isolate,ML S-12-28-23,,,0,0,0,0
T-1099,Concentrate,Psil Concentrate,,,0.0882,1.5968,26.3353,0.3434
T-1100-1,Concentrate,Rexis Normal Prep,Lot: 0012451,,0,0,0,5.4353
T-1100-2,Concentrate,Rexis HCl Acid Prep,,,0,0,0,5.8144
T-1102,Fruit QC,Tryp-QC-#3-39,,,0.0674,0.3091,8.7511,0.3778
T-1103,Capsule,Blueberry Mood+,,,0,0.0716,3.8251,0.0435
T-1104,Capsule,Mushroom Blend Micro Capsule,,,0.0198,0.0931,4.0976,0.0799
T-1105,Capsule,Sage Space Blend,,,0.0171,0.1062,4.0819,0.0994
T-1106,Capsule,Magic Mushroom Microdoses,,,0,0,1.6468,0.5898
T-1107,Capsule,L-Carnitine Blend,,,0,0,7.1644,0.7391
T-1108,Fruit QC,Tryp-QC-#3-40,,,0.0878,0.1831,8.6015,0.3138
T-1109,Fruit,#1,,,0.0274,0.0991,10.2425,0.2527
T-1110,Fruit,#2,,,0.0431,0.136,9.6569,0.2339
T-1111,Fruit,#3,,,0.0347,0.1709,8.4223,0.1599
T-1112,Fruit,#4,,,0.0282,0.178,5.4405,0.1355
T-1113,Fruit,#5,,,0.0421,0.2029,8.9815,0.1481
T-1114,Fruit,#6,,,0.0368,0.3253,7.8831,0.1667
T-1115,Tincture,A1,,,0,0,0,0
T-1116,Tincture,A2,,,0,0,0,0
T-1117,Tincture,A3,,,0,0,0,0
T-1118,Edible,Polkadot Viet Ice Coffee,,,0,0,0,0.0562
T-1119,Edible,Polkadot Pennycup ,,,0,0,0,0.0862
T-1092-2,Edible,S-HF Gummies-T1,,,0.0091,0.0151,0.3251,0.0173
T-1093-2,Bark,DMT Bark,,,0,0,0,0
T-1120,Fruit QC,Tryp-QC-#3-41,,,0.0714,0.1844,7.7911,0.2478
T-1121,Fruit QC,Tryp-QC-#3-42,,,0.0597,0.1186,6.2109,0.201
T-1122,Fruit QC,Tryp-QC-#3-43,,,0.0669,0.1332,7.973,0.2613
T-1123,Edible,0.002,,,0,0,0,0.0081
T-1124,Edible,0.003,,,0,0,0,0.0123
T-1125,Edible,0.004,,,0,0,0,0.0125
T-1126,Edible,0.005,,,0,0,0,0.0172
T-1127,Edible,3.3,,,0.0049,0.0044,0.1421,0.1977
T-1128,Edible,2.9,,,0.0035,0.0045,0.0553,0.2201
T-1129,Fruit QC,Tryp-QC-#3-44,,,0.0588,0.1256,5.0965,0.0772
T-1109-2,Fruit,#1,,,0.021,0.4512,9.9064,0.1384
T-1110-2,Fruit,#2,,,0.0258,0.2541,8.7597,0.1232
